,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
1355,Citroen,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,116000,69500
1356,Citroen,C5,Diğer,2015.0,Dizel,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,131000,126500
1357,Citroen,Diğer,Diğer,2019.0,Benzin,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,19000,87500
1358,Citroen,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,190000,64650
1359,Citroen,Diğer,Diğer,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,125591,82900
1360,Citroen,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,85000,67500
1361,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,128000,72700
1362,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,57000,78500
1363,Citroen,C3,1.4 e-HDi Confort,2012.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,128000,78500
1364,Citroen,Diğer,Diğer,2013.0,Benzin/LPG,Düz Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,98000,53000
1365,Citroen,Diğer,Diğer,2018.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,35000,94750
1366,Citroen,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,128000,64800
1367,Citroen,Diğer,Diğer,2018.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,28250,94750
1368,Citroen,C3,1.4 HDi SX,2004.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,240000,31900
1369,Citroen,Diğer,Diğer,2013.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,225000,51000
1370,Citroen,Diğer,Diğer,2013.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,215000,55000
1371,Citroen,C3,Diğer,2011.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,142433,63900
1372,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,117975,76750
1373,Jaguar,XF,2.0 D Prestige Plus,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,26100,634500
1374,Citroen,Diğer,Diğer,2018.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,55222,85750
1375,Citroen,Diğer,Diğer,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,95000,78900
1376,Citroen,C4,Diğer,2009.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,188200,53999
1377,Citroen,C4 Cactus,Diğer,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,2. El,91000,118900
1378,Citroen,C5,Diğer,2009.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,279000,51500
1379,Citroen,C5,Diğer,2009.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,279000,51400
1380,Citroen,Diğer,Diğer,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,111000,93000
1381,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,100000,72950
1382,Citroen,Diğer,Diğer,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,62000,78850
1383,Citroen,C4,Diğer,2011.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,224000,75500
1384,Citroen,C4,Diğer,2010.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,220000,54900
1385,Citroen,C3,1.4 SX,2004.0,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,52950
1386,Citroen,Diğer,Diğer,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,150500,68750
1387,Citroen,C4,Diğer,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,273000,52750
1388,Citroen,C3,Diğer,2010.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,142000,75000
1389,Citroen,C4 Cactus,Diğer,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,104000,122000
1390,Citroen,Diğer,Diğer,2018.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,32000,102000
1391,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,115000,69950
1392,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,200550,444500
1393,Citroen,Diğer,Diğer,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,114000,80950
1394,Citroen,C1,1.0 SX Sensodrive,2011.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,118000,62950
1395,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,170000,69950
1396,Citroen,Diğer,Diğer,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,147000,65000
1397,Citroen,Diğer,Diğer,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,125000,110000
1398,Citroen,C5,Diğer,2010.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,220000,69750
1399,Citroen,C3,Diğer,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,160000,67000
1400,Citroen,Diğer,Diğer,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,161000,57500
1401,Citroen,Diğer,Diğer,2019.0,Benzin,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,10283,124750
1402,Citroen,C3,Diğer,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,211565,53750
1403,Citroen,C4,1.6 e-HDi Confort,2012.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,152000,73500
1404,Citroen,Diğer,Diğer,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,107000,119750
1405,Citroen,C2,"1.4 HDi
",2006.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Kırmızı ,Hatchback 3 Kapı,Sahibinden,2. El,207000,40000
1406,Citroen,C4,1.6 HDI SX,2007.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,262000,44500
1407,Citroen,C4,1.6 HDI SX,2011.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,210000,61500
1408,Citroen,C4,1.6 VTR,2007.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Spor / Coupe,Sahibinden,2. El,146524,55000
1409,Citroen,Xsara,Picasso 1.6,2002.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Yeşil ,MPV,Sahibinden,2. El,300000,19500
1410,Citroen,C4,1.6 HDI SX PK,2011.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,273000,52750
1411,Citroen,C5,"1.6 HDi
",2011.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,197000,80000
1412,BMW,7 Serisi,740d xDrive Exclusive,2012.0,Dizel,Otomatik Vites,3501-4000 cc,251-275 BG,Beyaz ,Sedan,Galeriden,2. El,128707,597500
1413,Citroen,C-Elysee,1.2 VTi Attraction,2013.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Gri ,Sedan,Galeriden,2. El,150000,55000
1414,Citroen,C3,1.6 BlueHDi Live,2017.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,105000,91900
1415,Citroen,C4,"1.6 e-HDi Confort Plus
",2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,173000,72500
1416,Citroen,C2,VTS 1.6,2006.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,172000,44500
1417,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,200550,444500
1418,Chrysler,300 M,3.5,1999.0,Benzin/LPG,Otomatik Vites,3501-4000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,232000,48500
1419,Chrysler,Grand,Grand,1998.0,Benzin/LPG,Otomatik Vites,3501-4000 cc,151-175 BG,Kahverengi ,Minivan,Sahibinden,2. El,228000,52500
1420,Chrysler,Grand,Grand,1998.0,Benzin/LPG,Otomatik Vites,3501-4000 cc,151-175 BG,Kahverengi ,Minivan,Sahibinden,2. El,228000,52500
1421,Chrysler,Grand,Grand,2006.0,Dizel,Otomatik Vites,2501-3000 cc,151-175 BG,Siyah ,MPV,Sahibinden,2. El,230000,94000
1422,Chrysler,300 C,3.0 CRD,2008.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,250000,129950
1423,Chrysler,300 C,3.0 CRD,2008.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,208000,128950
1424,Chrysler,300 C,2.7,2005.0,Benzin/LPG,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,298000,96500
1425,Chrysler,300 C,5.7,2006.0,Benzin,Otomatik Vites,5501-6000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,237000,125750
1426,Chrysler,300 C,3.0 CRD,2011.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,190000,169500
1427,Chrysler,PT Cruiser,2.0 Limited,2001.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,228000,48500
1428,Chrysler,300 C,2.7,2005.0,Benzin/LPG,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,194000,107000
1429,Chrysler,300 C,3.0 CRD,2009.0,Dizel,Otomatik Vites,2501-3000 cc,201-225 BG,Gri ,Sedan,Galeriden,2. El,200000,135000
1430,Chrysler,Stratus,2.5 LX,1997.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,151-175 BG,Kahverengi ,Sedan,Galeriden,2. El,356000,35000
1431,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
1432,Dacia,Duster,1.5 dCi Comfort,2018.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Station Wagon,Galeriden,2. El,34000,137500
1433,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer ,Sedan,Galeriden,2. El,100000,80000
1434,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Arazi Aracı,Galeriden,Hasarlı,76000,69500
1435,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,48000,99750
1436,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,134000,106500
1437,Dacia,1310,-,2007.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Sedan,Sahibinden,2. El,103170,43000
1438,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,129221,115000
1439,Dacia,Duster,1.5 dCi Ambiance,2016.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,225000,100750
1440,Dacia,Duster,1.5 dCi Prestige,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Gri ,Arazi Aracı,Galeriden,2. El,65000,169750
1441,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,95000,89000
1442,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Gri ,Hatchback 5 Kapı,Galeriden,2. El,188000,68000
1443,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,50000,100000
1444,Dacia,Lodgy,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Station Wagon,Galeriden,2. El,130000,84750
1445,Dacia,Logan,1.4 Ambiance,2006.0,Benzin/LPG,Düz Vites,1601-1800 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,255000,29750
1446,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,220000,86500
1447,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,133000,110000
1448,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Arazi Aracı,Galeriden,2. El,96000,133500
1449,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer ,Hatchback 3 Kapı,Galeriden,0 km,89419,97900
1450,Dacia,Sandero,1.5 dCi Stepway,2018.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer ,Hatchback 3 Kapı,Galeriden,0 km,40437,111900
1451,Jeep,Wrangler,2.8 CRD,2014.0,Dizel,Otomatik Vites,2501-3000 cc,126-150 BG,Siyah ,Arazi Aracı,Galeriden,2. El,54000,457500
1452,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Arazi Aracı,Sahibinden,2. El,54350,127500
1453,Dacia,Duster,1.5 dCi Ambiance,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Arazi Aracı,Sahibinden,2. El,31000,120000
1454,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Arazi Aracı,Galeriden,2. El,110000,121900
1455,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,120000,125000
1456,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş ,Hatchback 5 Kapı,Sahibinden,2. El,100000,80000
1457,Dacia,Sandero,1.5 dCi Stepway,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,134000,77500
1458,Dacia,Sandero,1.5 dCi Stepway,2013.0,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,273000,65000
1459,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,131000,118000
1460,Dacia,Sandero,1.0 Ambiance,2017.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,29000,77750
1461,Dacia,Duster,1.0 Tce Comfort,2020.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,15,129500
1462,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,98500,118500
1463,Dacia,Sandero,1.5 dCi Stepway,2012.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,165000,70000
1464,Dacia,Duster,1.5 dCi Laureate,2016.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,72900,99750
1465,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,120000,125000
1466,Dacia,Logan,1.6 MCV Black Line,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,601 BG ve üzeri,Bej ,Station Wagon,Sahibinden,2. El,178000,60000
1467,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri ,MPV,Galeriden,2. El,101000,101500
1468,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,52000,116000
1469,Dacia,Duster,"1.5 dCi
",2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Station Wagon,Galeriden,2. El,142000,115000
1470,Dacia,Sandero,1.5 dCi,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,443000,62500
1471,BMW,7 Serisi,740d xDrive Exclusive,2012.0,Dizel,Otomatik Vites,3501-4000 cc,251-275 BG,Beyaz ,Sedan,Galeriden,2. El,128707,597500
1472,Dacia,Lodgy,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,MPV,Sahibinden,2. El,63000,110000
1473,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,167000,79000
1474,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,72500,83000
1475,Dacia,Duster,1.5 dCi Laurate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Station Wagon,Sahibinden,2. El,61000,104000
1476,Dacia,Sandero,1.5 BlueDCI Stepway,2019.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,5000,129900
1477,Dacia,Duster,1.5 dCi Laureate,2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,376000,75000
1478,Dacia,Logan,1.4 Ambiance,2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Sedan,Sahibinden,2. El,98500,42500
1479,Dacia,Lodgy,1.5 dCi Stepway,2019.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Füme ,MPV,Galeriden,2. El,4500,142000
1480,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,136000,79500
1481,Dacia,Duster,1.2 Tce Comfort,2018.0,Benzin,Düz Vites,1300 cc ve altı,101-125 BG,Kahverengi ,Arazi Aracı,Galeriden,2. El,33000,118750
1482,Dacia,Sandero,1.5 dCi Stepway,2015.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,127469,66750
1483,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,90000,95999
1484,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,116000,98500
1485,Dacia,Duster,1.6 Sce Comfort,2020.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,8100,152000
1486,Dacia,Sandero,1.0 Ambiance,2018.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,40000,75000
1487,Dacia,Sandero,1.5 dCi Stepway,2011.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,188000,64000
1488,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,92000,121750
1489,Dacia,Sandero,Diğer,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,109000,64900
1490,Dacia,Duster,1.3 Tce Comfort,2019.0,Benzin,Düz Vites,1301-1600 cc,Bilmiyorum,Mavi ,Arazi Aracı,Galeriden,2. El,3000,133900
1491,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
1492,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,50000,100000
1493,Dacia,Logan,1.2 16V Ambiance,2014.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Gri ,Station Wagon,Sahibinden,2. El,123000,63500
1494,Dacia,Sandero,1.0 Ambiance,2019.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,0 km,10,90000
1495,Dacia,1310,1310 L,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,220000,21000
1496,Dacia,Duster,1.5 dCi Prestige,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Turuncu ,Diğer,Sahibinden,2. El,25000,166500
1497,Dacia,Logan,1.4,2009.0,Benzin,Düz Vites,1301-1600 cc,51-75 BG,Gümüş Gri ,Sedan,Galeriden,2. El,113000,32750
1498,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,169000,97000
1499,Dacia,Duster,1.6 Sce Comfort,2020.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,0 km,0,132250
1500,Dacia,Duster,1.6 Sce Prestige,2019.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Gri ,Arazi Aracı,Galeriden,2. El,3300,131000
1501,Dacia,Sandero,1.4 Ambiance,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Gri ,Hatchback 5 Kapı,Galeriden,2. El,231000,45000
1502,Dacia,1310,1310 L,2019.0,Benzin/LPG,Düz Vites,1300 cc ve altı,100 BG ve altı,Mavi ,Station Wagon,Sahibinden,2. El,1400,79500
1503,Dacia,Lodgy,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Füme ,MPV,Sahibinden,2. El,132000,87000
1504,Dacia,Duster,1.6 Ambiance,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,135000,72900
1505,Dacia,Duster,1.5 dCi Laureate,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,178000,79500
1506,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,98500,81000
1507,Dacia,Duster,1.5 dCi Ambiance,2014.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,220000,78500
1508,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,99900,88900
1509,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,157000,91900
1510,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Gri ,Sedan,Galeriden,2. El,130000,104000
